"id","level","cvss","title","Vulnerability","Solution","reference"
945,"CRITICAL","10","Title - 945","Vulnerability - 945","Solution - 945","reference - 945"
946,"HIGH","7.5","Title - 946","Vulnerability - 946","Solution - 946","reference - 946"
947,"INFO","0","Title - 947","Vulnerability - 947","Solution - 947","reference - 947"
948,"LOW","0","Title - 948","Vulnerability - 948","Solution - 948","reference - 948"
949,"HIGH","5","Title - 949","Vulnerability - 949","Solution - 949","reference - 949"
950,"CRITICAL","10","Title - 950","Vulnerability - 950","Solution - 950","reference - 950"
951,"MEDIUM","6.8","Title - 951","Vulnerability - 951","Solution - 951","reference - 951"
952,"MEDIUM","6.8","Title - 952","Vulnerability - 952","Solution - 952","reference - 952"
953,"MEDIUM","6.8","Title - 953","Vulnerability - 953","Solution - 953","reference - 953"
954,"HIGH","9.3","Title - 954","Vulnerability - 954","Solution - 954","reference - 954"
955,"HIGH","10","Title - 955","Vulnerability - 955","Solution - 955","reference - 955"
956,"MEDIUM","6.8","Title - 956","Vulnerability - 956","Solution - 956","reference - 956"
957,"MEDIUM","6.8","Title - 957","Vulnerability - 957","Solution - 957","reference - 957"
958,"MEDIUM","6.8","Title - 958","Vulnerability - 958","Solution - 958","reference - 958"
959,"MEDIUM","5","Title - 959","Vulnerability - 959","Solution - 959","reference - 959"
960,"HIGH","9.3","Title - 960","Vulnerability - 960","Solution - 960","reference - 960"
961,"HIGH","7.2","Title - 961","Vulnerability - 961","Solution - 961","reference - 961"
962,"HIGH","7.5","Title - 962","Vulnerability - 962","Solution - 962","reference - 962"
963,"LOW","7.8","Title - 963","Vulnerability - 963","Solution - 963","reference - 963"
964,"CRITICAL","4.6","Title - 964","Vulnerability - 964","Solution - 964","reference - 964"
965,"INFO","0","Title - 965","Vulnerability - 965","Solution - 965","reference - 965"
966,"CRITICAL","10","Title - 966","Vulnerability - 966","Solution - 966","reference - 966"
967,"HIGH","7.5","Title - 967","Vulnerability - 967","Solution - 967","reference - 967"
968,"HIGH","5","Title - 968","Vulnerability - 968","Solution - 968","reference - 968"
969,"MEDIUM","7.5","Title - 969","Vulnerability - 969","Solution - 969","reference - 969"
970,"LOW","0","Title - 970","Vulnerability - 970","Solution - 970","reference - 970"
971,"CRITICAL","7.5","Title - 971","Vulnerability - 971","Solution - 971","reference - 971"
972,"HIGH","7.5","Title - 972","Vulnerability - 972","Solution - 972","reference - 972"
973,"LOW","7.5","Title - 973","Vulnerability - 973","Solution - 973","reference - 973"
974,"HIGH","7.5","Title - 974","Vulnerability - 974","Solution - 974","reference - 974"
975,"HIGH","10","Title - 975","Vulnerability - 975","Solution - 975","reference - 975"
976,"LOW","0","Title - 976","Vulnerability - 976","Solution - 976","reference - 976"
977,"HIGH","10","Title - 977","Vulnerability - 977","Solution - 977","reference - 977"
978,"INFO","0","Title - 978","Vulnerability - 978","Solution - 978","reference - 978"
979,"HIGH","7.8","Title - 979","Vulnerability - 979","Solution - 979","reference - 979"
980,"MEDIUM","7.1","Title - 980","Vulnerability - 980","Solution - 980","reference - 980"
981,"CRITICAL","10","Title - 981","Vulnerability - 981","Solution - 981","reference - 981"
982,"HIGH","10","Title - 982","Vulnerability - 982","Solution - 982","reference - 982"
983,"HIGH","10","Title - 983","Vulnerability - 983","Solution - 983","reference - 983"
984,"INFO","0","Title - 984","Vulnerability - 984","Solution - 984","reference - 984"
985,"HIGH","5","Title - 985","Vulnerability - 985","Solution - 985","reference - 985"
986,"HIGH","7.5","Title - 986","Vulnerability - 986","Solution - 986","reference - 986"
987,"MEDIUM","10","Title - 987","Vulnerability - 987","Solution - 987","reference - 987"
988,"HIGH","10","Title - 988","Vulnerability - 988","Solution - 988","reference - 988"
989,"MEDIUM","5.8","Title - 989","Vulnerability - 989","Solution - 989","reference - 989"
990,"MEDIUM","7.5","Title - 990","Vulnerability - 990","Solution - 990","reference - 990"
991,"HIGH","10","Title - 991","Vulnerability - 991","Solution - 991","reference - 991"
992,"INFO","0","Title - 992","Vulnerability - 992","Solution - 992","reference - 992"
993,"HIGH","7.9","Title - 993","Vulnerability - 993","Solution - 993","reference - 993"
